"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"WM184362","Freehold","7 Lodge Hill Road, Selly Oak (B29 6NU)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B29 6NU","N","160000","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND",,"Corporate Body","IRELAND","PO Box 27, One Temple Quay, Bristol BS99 7AX",,,,,,,,,,,,,,,,,,,,,,,,"21-08-2008","N","52.4389692602625","-1.94375645507158"
"WM224224","Freehold","land lying to the North West of Tameside Drive, Castle Bromwich","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"KLEINWORT BENSON (GUERNSEY) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, Channel Islands, GY1 3BG",,,"BORROWDALE NOMINEES LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Dorey Court, Admiral Park, St Peter Port, Guernsey, Channel Islands, GY1 3BG",,,,,,,,,,,,,,,,,"06-11-2013","N","0","0"
"WM240255","Freehold","Wolverley House, 21 Digbeth, Birmingham (B5 6BJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 6BJ","N",,"LETHIA HOLDINGS LIMITED",,"Limited Company or Public Limited Company","GIBRALTAR","Finsbury Trust Suites, 7b And 8b 50 Town Range, Gibraltar","3 Coach House Yard, Hampstead High Street, London NW3 1QF",,,,,,,,,,,,,,,,,,,,,,,"15-03-2012","N","0","0"
"WM253444","Leasehold","Multi Storey Car Park, Newton Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N","7061650","CHARIOT INVESTMENT HOLDINGS 2 S.A.R.L.",,"Unlimited Company","LUXEMBOURG","400 Capability Green, Luton LU1 3AE",,,,,,,,,,,,,,,,,,,,,,,,"03-08-2017","N","0","0"
"WM263608","Freehold","Land and buildings on the north side of Institute Road, Kings Heath, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"PICTON PROPERTY NOMINEE (NO. 3) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey GY1 3QL",,,"PICTON PROPERTY NOMINEE (NO. 4) LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","Trafalgar Court, Les Banques, St Peter Port, Guernsey GY1 3QL",,,,,,,,,,,,,,,,,"06-08-2012","N","0","0"
"WM325211","Freehold","1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42 Over Brunton Close, 2, 6, 8, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 40, 42, 42A, 44, 44A, 58, 58A, 60, 60A, Rea Valley Drive, 1, 3, 5, 7 Bridge Piece, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15 Old Bank Top, 40, 42, 44, 48, Staple Lodge Road, and Parking Spaces Northfield, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","0","0"
"WM338731","Freehold","Land lying to the south east of Speedwell Road, Yardley, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"STANDARD BANK OFFSHORE TRUST COMPANY JERSEY LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,"LUMBRO NOMINEES (JERSEY) LIMITED",,"Limited Company or Public Limited Company","JERSEY","Standard Bank House, 47-49 La Motte Street, St Helier, Jersey, JE2 4SZ",,,,,,,,,,,,,,,,,"19-09-2013","N","0","0"
"WM351080","Freehold","1529 Stratford Road, Hall Green, Birmingham (B28 9JA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B28 9JA","N",,"GREEN GARTH PRIORY LIMITED",,"Limited Company or Public Limited Company","GIBRALTAR","846-848 Europort, Gibraltar","Horizon House, 1 Eclipse Park, Sittingbourne Road, Maidstone ME14 3EN",,,,,,,,,,,,,,,,,,,,,,,"29-09-2017","N","52.4211765478473","-1.83584734587253"
"WM360801","Freehold","10, 12, 16 to 26 (even) 36 to 42 (even) 46 and 48 Fledburgh Drive, Sutton Coldfield, and parking spaces","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","0","0"
"WM360812","Freehold","4 to 8 (evens) and 10 Foster Gardens, Winson Green, (B18 5DJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B18 5DJ","N",,"WALLACE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","MAURITIUS","Botanic House, 100 Hills Road, Cambridge CB2 1PH",,,,,,,,,,,,,,,,,,,,,,,,"25-05-2012","N","52.4954630320305","-1.92796902425366"
