"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6403",1,1,1,1,1
"6404",6,10,10,1,5
"6405",2,2,2,1,1
"6406",2,2,2,NA,3
"6407",6,10,10,NA,0
"6408",2,2,2,1,5
"6409",2,1,1,1,5
"6410",2,2,2,NA,3
"6411",7,7,7,1,2
"6412",6,10,10,1,2
"6413",NA,3,3,1,NA
"6414",2,2,2,1,1
"6415",1,10,10,NA,2
"6416",2,2,2,1,3
"6417",7,1,1,1,3
"6418",1,1,1,1,2
"6419",1,1,1,1,4
"6420",6,1,1,1,2
"6421",6,6,6,1,2
"6422",2,9,9,1,2
"6423",6,6,6,1,2
"6424",1,1,1,1,1
"6425",9,10,10,1,0
"6426",6,2,2,1,4
"6427",3,3,3,1,1
"6428",1,1,1,1,2
"6429",2,2,2,1,1
"6430",1,10,10,NA,2
"6431",3,3,3,1,1
"6432",1,1,1,1,1
"6433",NA,10,10,1,NA
"6434",1,1,1,NA,5
"6435",3,3,3,1,2
"6436",1,1,1,1,2
"6437",2,2,2,NA,1
"6438",3,3,3,1,2
"6439",1,3,3,1,3
"6440",6,6,6,1,2
"6441",NA,10,10,NA,NA
"6442",2,2,2,1,1
"6443",1,2,2,1,2
"6444",1,10,10,1,2
"6445",7,99,9999,1,3
"6446",NA,2,2,1,NA
"6447",3,3,3,1,5
"6448",1,1,1,1,2
"6449",6,1,1,2,2
"6450",2,2,2,1,2
"6451",1,1,1,1,2
"6452",NA,1,1,1,NA
"6453",3,10,10,1,3
"6454",7,10,10,1,5
"6455",9,10,10,1,5
"6456",2,2,2,1,1
"6457",1,1,1,1,2
"6458",NA,10,10,NA,NA
"6459",1,10,10,1,3
"6460",2,2,2,1,2
"6461",1,1,1,5,2
"6462",1,1,1,1,1
"6463",2,2,2,2,2
"6464",2,2,2,1,2
"6465",1,99,9999,8,3
"6466",2,10,10,1,2
"6467",1,1,1,1,1
"6468",NA,9,9,NA,NA
"6469",1,1,1,6,1
"6470",1,1,1,1,1
"6471",1,1,1,1,2
"6472",7,10,10,8,2
"6473",1,1,1,5,1
"6474",NA,2,2,1,NA
"6475",2,2,2,1,2
"6476",2,10,10,6,2
"6477",2,3,3,1,2
"6478",3,3,3,1,1
"6479",2,2,2,1,2
"6480",7,2,2,1,2
"6481",1,1,1,1,1
"6482",3,3,3,7,3
"6483",2,2,2,2,1
"6484",2,10,10,1,5
"6485",1,1,1,8,1
"6486",2,2,2,7,2
"6487",1,1,1,1,1
