Filght no. full,Planefinder URL,Seats,Seats as num
FR5485,https://planefinder.net/data/flight/FR5485,,
FR8343,https://planefinder.net/data/flight/FR8343,,
FR4585,https://planefinder.net/data/flight/FR4585,,
FR2863,https://planefinder.net/data/flight/FR2863,,
FR8543,https://planefinder.net/data/flight/FR8543,,
FR2284,https://planefinder.net/data/flight/FR2284,,
FR2673,https://planefinder.net/data/flight/FR2673,,
FR1395,https://planefinder.net/data/flight/FR1395,,
FR876,https://planefinder.net/data/flight/FR876,,
FR877,https://planefinder.net/data/flight/FR877,,
FR792,https://planefinder.net/data/flight/FR792,,
FR936,https://planefinder.net/data/flight/FR936,,
FR9142,https://planefinder.net/data/flight/FR9142,,
FR5172,https://planefinder.net/data/flight/FR5172,,
FR1886,https://planefinder.net/data/flight/FR1886,,
FR8403,https://planefinder.net/data/flight/FR8403,,
FR72,https://planefinder.net/data/flight/FR72,,
FR6543,https://planefinder.net/data/flight/FR6543,,
FR514,https://planefinder.net/data/flight/FR514,,
FR1845,https://planefinder.net/data/flight/FR1845,,
FR8402,https://planefinder.net/data/flight/FR8402,,
FR4566,https://planefinder.net/data/flight/FR4566,,
FR6316,https://planefinder.net/data/flight/FR6316,,
FR9135,https://planefinder.net/data/flight/FR9135,,
FR6532,https://planefinder.net/data/flight/FR6532,,
FR7188,https://planefinder.net/data/flight/FR7188,,
FR6031,https://planefinder.net/data/flight/FR6031,,
FR1632,https://planefinder.net/data/flight/FR1632,,
FR6266,https://planefinder.net/data/flight/FR6266,,
FR6654,https://planefinder.net/data/flight/FR6654,,
FR9056,https://planefinder.net/data/flight/FR9056,,
FR5446,https://planefinder.net/data/flight/FR5446,,
FR3021,https://planefinder.net/data/flight/FR3021,,
FR6341,https://planefinder.net/data/flight/FR6341,,
FR1135,https://planefinder.net/data/flight/FR1135,,
FR504,https://planefinder.net/data/flight/FR504,,
FR1986,https://planefinder.net/data/flight/FR1986,,
FR1958,https://planefinder.net/data/flight/FR1958,,
FR2136,https://planefinder.net/data/flight/FR2136,,
FR2336,https://planefinder.net/data/flight/FR2336,,
FR9273,https://planefinder.net/data/flight/FR9273,,
FR2860,https://planefinder.net/data/flight/FR2860,,
FR8544,https://planefinder.net/data/flight/FR8544,,
FR1874,https://planefinder.net/data/flight/FR1874,,
FR281,https://planefinder.net/data/flight/FR281,,
FR1782,https://planefinder.net/data/flight/FR1782,,
FR1516,https://planefinder.net/data/flight/FR1516,,
FR7782,https://planefinder.net/data/flight/FR7782,,
FR6772,https://planefinder.net/data/flight/FR6772,,
FR9635,https://planefinder.net/data/flight/FR9635,,
FR4383,https://planefinder.net/data/flight/FR4383,,
FR1982,https://planefinder.net/data/flight/FR1982,,
FR793,https://planefinder.net/data/flight/FR793,,
FR937,https://planefinder.net/data/flight/FR937,,
FR9143,https://planefinder.net/data/flight/FR9143,,
FR5173,https://planefinder.net/data/flight/FR5173,,
FR1887,https://planefinder.net/data/flight/FR1887,,
